id,name,description,location,start_coordinates,duration_minutes,type,activity_level,cost_min,cost_max,tags,seasonality,group_size_min,group_size_max,languages_offered,accessibility_features,vendor_rating,cancellation_policy,booking_volume,image_url,company_id
44,London Eye Experience,Panoramic views of London from the iconic Ferris wheel,London,"{""lat"": 51.5033, ""lng"": -0.1195}",30,Attraction,Easy,30,45,"[""scenic"",""family"",""romantic""]","[""spring"",""summer"",""fall"",""winter""]",1,6,"[""English""]","[""wheelchair_accessible""]",4.8,Flexible,5000,https://images.unsplash.com/photo-1513635269975-59663e0ac1ad
45,Phuket Island Hopping,Explore multiple islands with snorkeling and beach visits,Phuket,"{""lat"": 7.8804, ""lng"": 98.3923}",480,Adventure,Moderate,50,150,"[""beach"",""snorkeling"",""nature""]","[""winter"",""spring""]",2,12,"[""English"",""Thai""]","[]",4.9,Moderate,3500,https://images.unsplash.com/photo-1528181304800-259b08848526
46,Bali Rice Terrace Trek,Guided walk through ancient rice terraces,Bali,"{""lat"": -8.4095, ""lng"": 115.1889}",180,Adventure,Moderate,20,40,"[""nature"",""cultural"",""hiking""]","[""spring"",""summer"",""fall""]",1,8,"[""English"",""Indonesian""]","[]",4.7,Flexible,2800,https://images.unsplash.com/photo-1528184039930-bd03972bd974
47,Central Park Bike Tour,Guided cycling tour through Central Park,New York,"{""lat"": 40.7829, ""lng"": -73.9654}",120,Adventure,Easy,30,50,"[""nature"",""city"",""family""]","[""spring"",""summer"",""fall""]",1,10,"[""English""]","[""wheelchair_accessible""]",4.6,Flexible,4200,https://images.unsplash.com/photo-1501594907352-04cda38ebc29
48,Tokyo Food Tour,Explore local cuisine in Tsukiji Outer Market,Tokyo,"{""lat"": 35.6654, ""lng"": 139.7704}",180,Food,Moderate,40,80,"[""food"",""cultural"",""local""]","[""spring"",""summer"",""fall"",""winter""]",2,8,"[""English"",""Japanese""]","[]",4.9,Strict,3800,https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e
49,Eiffel Tower Skip-the-Line,Priority access to Paris's iconic landmark,Paris,"{""lat"": 48.8584, ""lng"": 2.2945}",90,Attraction,Easy,35,60,"[""scenic"",""romantic"",""landmark""]","[""spring"",""summer"",""fall"",""winter""]",1,6,"[""English"",""French""]","[""wheelchair_accessible""]",4.8,Moderate,6000,https://images.unsplash.com/photo-1543349689-9a4d426bee8e
50,Sydney Opera House Tour,Behind-the-scenes tour of the iconic venue,Sydney,"{""lat"": -33.8568, ""lng"": 151.2153}",60,Attraction,Easy,25,45,"[""cultural"",""architecture"",""landmark""]","[""spring"",""summer"",""fall"",""winter""]",1,8,"[""English""]","[""wheelchair_accessible""]",4.7,Flexible,4500,https://images.unsplash.com/photo-1506973035872-a4ec16b8e8d9
51,Rio Carnival Experience,Experience the vibrant Carnival atmosphere,Rio de Janeiro,"{""lat"": -22.9068, ""lng"": -43.1729}",240,Cultural,Moderate,60,120,"[""cultural"",""music"",""dance""]","[""summer""]",1,15,"[""English"",""Portuguese""]","[]",4.9,Strict,2000,https://images.unsplash.com/photo-1483729558449-99ef09a8c325
52,Amsterdam Canal Cruise,Scenic boat tour through historic canals,Amsterdam,"{""lat"": 52.3676, ""lng"": 4.9041}",75,Attraction,Easy,20,35,"[""scenic"",""romantic"",""historic""]","[""spring"",""summer"",""fall""]",1,20,"[""English"",""Dutch""]","[""wheelchair_accessible""]",4.6,Flexible,5200,https://images.unsplash.com/photo-1534351590666-13e3e96b5017
53,Dubai Desert Safari,4x4 adventure and traditional dinner,Dubai,"{""lat"": 25.2048, ""lng"": 55.2708}",360,Adventure,Moderate,70,150,"[""adventure"",""cultural"",""dinner""]","[""winter"",""spring"",""fall""]",2,6,"[""English"",""Arabic""]","[]",4.8,Moderate,4800,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb
54,Cancun Snorkeling Adventure,Explore the Great Maya Reef,Cancun,"{""lat"": 21.1619, ""lng"": -86.8515}",180,Adventure,Moderate,45,90,"[""beach"",""snorkeling"",""nature""]","[""winter"",""spring""]",2,10,"[""English"",""Spanish""]","[]",4.7,Flexible,3200,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,33
55,Barcelona Gothic Quarter Walk,Historic walking tour through medieval streets,Barcelona,"{""lat"": 41.3851, ""lng"": 2.1734}",120,Cultural,Easy,15,30,"[""historic"",""cultural"",""walking""]","[""spring"",""summer"",""fall"",""winter""]",1,12,"[""English"",""Spanish"",""Catalan""]","[""wheelchair_accessible""]",4.6,Flexible,3800,https://images.unsplash.com/photo-1539037116277-4db20889f2d4
56,Waikiki Surfing Lesson,Learn to surf on famous Waikiki Beach,Honolulu,"{""lat"": 21.2793, ""lng"": -157.8294}",120,Adventure,Moderate,60,100,"[""beach"",""sports"",""family""]","[""summer"",""fall""]",1,4,"[""English""]","[]",4.8,Moderate,2800,https://images.unsplash.com/photo-1502680390469-be75c86b636f
57,Berlin Wall Bike Tour,Cycling tour along historic Berlin Wall,Berlin,"{""lat"": 52.5200, ""lng"": 13.4050}",180,Adventure,Easy,25,45,"[""historic"",""cultural"",""city""]","[""spring"",""summer"",""fall""]",1,8,"[""English"",""German""]","[""wheelchair_accessible""]",4.7,Flexible,2500,https://images.unsplash.com/photo-1599946347371-68eb71b16afc
58,Marrakech Souk Tour,Guided tour through traditional markets,Marrakech,"{""lat"": 31.6295, ""lng"": -7.9811}",180,Cultural,Moderate,20,40,"[""shopping"",""cultural"",""local""]","[""spring"",""fall"",""winter""]",1,10,"[""English"",""Arabic"",""French""]","[]",4.6,Flexible,2200,https://images.unsplash.com/photo-1539020140153-e479b8c7e528
59,Edinburgh Castle Tour,Historic tour of Edinburgh's iconic castle,Edinburgh,"{""lat"": 55.9486, ""lng"": -3.1999}",120,Attraction,Easy,20,35,"[""historic"",""cultural"",""landmark""]","[""spring"",""summer"",""fall""]",1,15,"[""English""]","[""wheelchair_accessible""]",4.8,Flexible,4500,https://images.unsplash.com/photo-1533144683836-84ea7a0bc310
45,Phuket Island Hopping,Explore multiple islands with snorkeling and beach visits,Phuket,"{""lat"": 7.8804, ""lng"": 98.3923}",480,Adventure,Moderate,50,150,"[""beach"",""snorkeling"",""nature""]","[""winter"",""spring""]",2,12,"[""English"",""Thai""]","[]",4.9,Moderate,3500,https://images.unsplash.com/photo-1528181304800-259b08848526
46,Bali Rice Terrace Trek,Guided walk through ancient rice terraces,Bali,"{""lat"": -8.4095, ""lng"": 115.1889}",180,Adventure,Moderate,20,40,"[""nature"",""cultural"",""hiking""]","[""spring"",""summer"",""fall""]",1,8,"[""English"",""Indonesian""]","[]",4.7,Flexible,2800,https://images.unsplash.com/photo-1528184039930-bd03972bd974
47,Central Park Bike Tour,Guided cycling tour through Central Park,New York,"{""lat"": 40.7829, ""lng"": -73.9654}",120,Adventure,Easy,30,50,"[""nature"",""city"",""family""]","[""spring"",""summer"",""fall""]",1,10,"[""English""]","[""wheelchair_accessible""]",4.6,Flexible,4200,https://images.unsplash.com/photo-1501594907352-04cda38ebc29
48,Tokyo Food Tour,Explore local cuisine in Tsukiji Outer Market,Tokyo,"{""lat"": 35.6654, ""lng"": 139.7704}",180,Food,Moderate,40,80,"[""food"",""cultural"",""local""]","[""spring"",""summer"",""fall"",""winter""]",2,8,"[""English"",""Japanese""]","[]",4.9,Strict,3800,https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e
49,Eiffel Tower Skip-the-Line,Priority access to Paris's iconic landmark,Paris,"{""lat"": 48.8584, ""lng"": 2.2945}",90,Attraction,Easy,35,60,"[""scenic"",""romantic"",""landmark""]","[""spring"",""summer"",""fall"",""winter""]",1,6,"[""English"",""French""]","[""wheelchair_accessible""]",4.8,Moderate,6000,https://images.unsplash.com/photo-1543349689-9a4d426bee8e
50,Sydney Opera House Tour,Behind-the-scenes tour of the iconic venue,Sydney,"{""lat"": -33.8568, ""lng"": 151.2153}",60,Attraction,Easy,25,45,"[""cultural"",""architecture"",""landmark""]","[""spring"",""summer"",""fall"",""winter""]",1,8,"[""English""]","[""wheelchair_accessible""]",4.7,Flexible,4500,https://images.unsplash.com/photo-1506973035872-a4ec16b8e8d9
51,Rio Carnival Experience,Experience the vibrant Carnival atmosphere,Rio de Janeiro,"{""lat"": -22.9068, ""lng"": -43.1729}",240,Cultural,Moderate,60,120,"[""cultural"",""music"",""dance""]","[""summer""]",1,15,"[""English"",""Portuguese""]","[]",4.9,Strict,2000,https://images.unsplash.com/photo-1483729558449-99ef09a8c325
52,Amsterdam Canal Cruise,Scenic boat tour through historic canals,Amsterdam,"{""lat"": 52.3676, ""lng"": 4.9041}",75,Attraction,Easy,20,35,"[""scenic"",""romantic"",""historic""]","[""spring"",""summer"",""fall""]",1,20,"[""English"",""Dutch""]","[""wheelchair_accessible""]",4.6,Flexible,5200,https://images.unsplash.com/photo-1534351590666-13e3e96b5017
53,Dubai Desert Safari,4x4 adventure and traditional dinner,Dubai,"{""lat"": 25.2048, ""lng"": 55.2708}",360,Adventure,Moderate,70,150,"[""adventure"",""cultural"",""dinner""]","[""winter"",""spring"",""fall""]",2,6,"[""English"",""Arabic""]","[]",4.8,Moderate,4800,https://images.unsplash.com/photo-1542314831-068cd1dbfeeb
54,Cancun Snorkeling Adventure,Explore the Great Maya Reef,Cancun,"{""lat"": 21.1619, ""lng"": -86.8515}",180,Adventure,Moderate,45,90,"[""beach"",""snorkeling"",""nature""]","[""winter"",""spring""]",2,10,"[""English"",""Spanish""]","[]",4.7,Flexible,3200,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,33
55,Barcelona Gothic Quarter Walk,Historic walking tour through medieval streets,Barcelona,"{""lat"": 41.3851, ""lng"": 2.1734}",120,Cultural,Easy,15,30,"[""historic"",""cultural"",""walking""]","[""spring"",""summer"",""fall"",""winter""]",1,12,"[""English"",""Spanish"",""Catalan""]","[""wheelchair_accessible""]",4.6,Flexible,3800,https://images.unsplash.com/photo-1539037116277-4db20889f2d4
56,Waikiki Surfing Lesson,Learn to surf on famous Waikiki Beach,Honolulu,"{""lat"": 21.2793, ""lng"": -157.8294}",120,Adventure,Moderate,60,100,"[""beach"",""sports"",""family""]","[""summer"",""fall""]",1,4,"[""English""]","[]",4.8,Moderate,2800,https://images.unsplash.com/photo-1502680390469-be75c86b636f
57,Berlin Wall Bike Tour,Cycling tour along historic Berlin Wall,Berlin,"{""lat"": 52.5200, ""lng"": 13.4050}",180,Adventure,Easy,25,45,"[""historic"",""cultural"",""city""]","[""spring"",""summer"",""fall""]",1,8,"[""English"",""German""]","[""wheelchair_accessible""]",4.7,Flexible,2500,https://images.unsplash.com/photo-1599946347371-68eb71b16afc
58,Marrakech Souk Tour,Guided tour through traditional markets,Marrakech,"{""lat"": 31.6295, ""lng"": -7.9811}",180,Cultural,Moderate,20,40,"[""shopping"",""cultural"",""local""]","[""spring"",""fall"",""winter""]",1,10,"[""English"",""Arabic"",""French""]","[]",4.6,Flexible,2200,https://images.unsplash.com/photo-1539020140153-e479b8c7e528
59,Edinburgh Castle Tour,Historic tour of Edinburgh's iconic castle,Edinburgh,"{""lat"": 55.9486, ""lng"": -3.1999}",120,Attraction,Easy,20,35,"[""historic"",""cultural"",""landmark""]","[""spring"",""summer"",""fall""]",1,15,"[""English""]","[""wheelchair_accessible""]",4.8,Flexible,4500,https://images.unsplash.com/photo-1533144683836-84ea7a0bc310
